iterations,f=3,f=4,f=5,f=6,f=7,f=8,f=9,f=10
2544,94.7,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2545,94.7,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2546,94.75,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2547,94.75,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2548,94.75,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2549,94.75,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2550,94.76,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2551,94.76,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2552,94.76,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2553,94.76,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2554,94.76,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2555,94.76,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2556,94.77,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2557,94.77,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2558,94.77,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2559,94.77,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2560,94.8,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2561,94.8,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2562,94.8,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2563,94.8,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2564,94.8,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2565,94.8,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2566,94.8,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2567,94.81,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2568,94.83,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2569,94.84,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2570,94.84,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2571,94.85,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2572,94.85,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2573,94.85,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2574,94.86,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2575,94.86,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2576,94.86,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2577,94.86,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2578,94.87,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2579,94.87,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2580,94.87,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2581,94.87,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2582,94.91,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2583,94.91,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2584,94.91,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2585,94.91,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2586,94.91,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2587,94.91,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2588,94.91,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2589,94.92,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2590,94.92,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2591,94.94,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2592,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2593,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2594,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2595,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2596,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2597,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2598,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2599,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2600,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2601,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2602,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2603,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2604,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2605,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2606,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2607,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2608,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2609,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2610,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2611,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2612,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2613,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2614,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2615,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2616,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2617,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2618,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2619,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2620,94.95,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2621,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2622,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2623,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2624,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2625,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2626,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2627,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2628,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2629,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2630,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2631,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2632,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2633,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2634,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2635,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2636,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2637,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2638,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2639,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2640,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2641,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2642,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2643,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2644,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2645,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2646,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2647,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2648,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2649,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2650,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2651,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2652,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2653,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2654,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2655,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2656,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2657,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2658,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2659,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2660,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2661,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2662,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2663,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2664,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2665,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2666,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2667,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2668,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2669,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2670,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2671,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2672,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2673,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2674,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2675,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2676,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2677,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2678,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2679,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2680,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2681,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2682,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2683,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2684,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2685,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2686,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2687,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2688,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2689,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2690,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2691,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2692,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2693,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2694,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2695,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2696,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2697,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2698,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2699,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2700,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2701,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2702,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2703,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2704,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2705,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2706,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2707,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2708,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2709,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2710,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2711,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2712,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2713,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2714,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2715,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2716,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2717,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2718,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2719,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2720,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2721,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2722,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2723,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2724,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2725,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2726,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2727,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2728,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2729,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2730,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2731,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2732,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2733,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2734,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2735,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2736,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2737,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2738,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2739,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2740,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2741,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2742,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2743,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2744,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2745,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2746,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2747,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2748,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2749,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2750,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2751,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2752,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2753,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2754,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2755,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2756,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2757,94.97,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2758,94.98,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2759,94.98,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2760,94.98,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2761,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2762,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2763,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2764,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2765,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2766,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2767,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2768,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2769,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2770,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2771,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2772,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2773,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2774,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2775,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2776,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2777,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2778,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2779,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2780,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2781,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2782,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2783,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2784,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2785,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2786,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2787,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2788,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2789,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2790,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2791,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2792,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2793,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2794,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2795,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2796,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2797,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2798,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2799,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2800,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2801,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2802,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2803,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2804,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2805,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2806,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2807,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2808,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2809,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2810,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2811,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2812,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2813,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2814,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2815,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2816,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2817,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2818,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2819,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2820,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2821,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2822,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2823,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2824,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2825,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2826,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2827,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2828,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2829,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2830,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2831,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2832,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2833,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2834,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2835,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2836,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2837,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2838,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2839,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2840,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2841,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2842,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2843,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2844,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2845,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2846,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2847,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2848,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2849,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2850,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2851,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2852,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2853,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2854,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2855,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2856,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2857,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2858,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2859,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2860,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2861,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2862,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2863,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2864,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2865,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2866,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2867,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2868,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2869,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2870,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2871,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2872,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2873,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2874,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2875,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2876,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2877,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2878,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2879,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2880,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2881,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2882,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2883,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2884,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2885,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2886,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2887,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2888,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2889,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2890,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2891,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2892,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2893,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2894,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2895,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2896,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2897,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2898,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2899,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2900,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2901,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2902,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2903,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2904,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2905,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2906,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2907,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2908,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2909,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2910,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2911,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2912,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2913,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2914,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2915,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2916,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2917,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2918,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2919,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2920,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2921,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2922,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2923,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2924,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2925,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2926,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2927,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2928,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2929,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2930,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2931,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2932,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2933,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2934,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2935,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2936,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2937,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2938,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2939,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2940,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
2941,95.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0
