b,m,ssr
0.01,750,708.5012305206855
0.01,760,765.2843591032172
0.01,770,823.5717128044195
0.01,780,883.2624937401658
0.01,790,944.2536719696494
0.01,800,1006.439830506157
0.01,810,1069.7129421882466
0.01,820,1133.9620864944684
0.01,830,1199.0731183344074
0.01,840,1264.9283051700195
0.01,850,1331.4059534124126
0.01,860,1398.3800497194115
0.01,870,1465.719947313719
0.01,880,1533.2901313730677
0.01,890,1600.9501004411982
0.01,900,1668.5544021291748
0.01,910,1735.952860553508
0.01,920,1802.9910294668664
0.01,930,1869.5108984830097
0.01,940,1935.3518700075344
0.01,950,2000.3520115988485
0.01,960,2064.3495730148643
0.01,970,2127.184740064574
0.01,980,2188.7015798557372
0.01,990,2248.7501156462636
0.02,0,2880.2800636493103
0.02,10,2818.899283339977
0.02,20,2754.176754445132
0.02,30,2686.6242110536964
0.02,40,2616.764210284819
0.02,50,2545.099796503348
0.02,60,2472.0918417443627
0.02,70,2398.1453088325425
0.02,80,2323.603854753992
0.02,90,2248.751016539028
0.02,100,2173.815784720344
0.02,110,2098.9805074873107
0.02,120,2024.389523358208
0.02,130,1950.1574594376048
0.02,140,1876.3766074927205
0.02,150,1803.1231380915378
0.02,160,1730.462130942986
0.02,170,1658.4515146840909
0.02,180,1587.1450567120567
0.02,190,1516.5945534749985
0.02,200,1446.8513647960658
0.02,210,1377.9674241882994
0.02,220,1309.9958459259533
0.02,230,1242.9912399418204
0.02,240,1177.0098363354662
0.02,250,1112.1095105634595
0.02,260,1048.3497866779408
0.02,270,985.7918787345881
0.02,280,924.4988104482927
0.02,290,864.5356320965507
0.02,300,805.9697336788356
0.02,310,748.8712362485369
0.02,320,693.3134302736634
0.02,330,639.3732212844959
0.02,340,587.1315388795865
0.02,350,536.6736651465111
0.02,360,488.08944251496615
0.02,370,441.47332889204216
0.02,380,396.9242794164886
0.02,390,354.5454485924115
0.02,400,314.4437223472382
0.02,410,276.7291042120826
0.02,420,241.513990322421
0.02,430,208.9123714783758
0.02,440,179.03899537116493
0.02,450,152.00850838230858
0.02,460,127.93457642396628
0.02,470,106.92896256825885
0.02,480,89.10052157451538
0.02,490,74.55406377109085
0.02,500,63.38904724254184
0.02,510,55.69807864841608
0.02,520,51.56523569066164
0.02,530,51.06426089675724
0.02,540,54.256707884932595
0.02,550,61.19013978067064
0.02,560,71.89648122040866
0.02,570,86.39061212675877
0.02,580,104.66926945870524
0.02,590,126.71030049931747
0.02,600,152.47229440026575
0.02,610,181.89461006603722
0.02,620,214.897815875417
0.02,630,251.3845548793553
0.02,640,291.2408420300881
0.02,650,334.3377837370654
0.02,660,380.53368442833124
0.02,670,429.67647365392907
0.02,680,481.60635705843464
0.02,690,536.158571900144
0.02,700,593.1661171247916
0.02,710,652.4623303868577
0.02,720,713.883198121328
0.02,730,777.2693068523192
0.02,740,842.4673715916008
0.02,750,909.3313081051635
0.02,760,977.7228475637713
0.02,770,1047.5117215485413
0.02,780,1118.5754690756364
0.02,790,1190.79893223423
0.02,800,1264.0735112642717
0.02,810,1338.296242304952
0.02,820,1413.368740613509
0.02,830,1489.1960178469267
0.02,840,1565.6851342802497
0.02,850,1642.7435887858126
0.02,860,1720.277288172575
0.02,870,1798.1878840052107
0.02,880,1876.3692331823695
0.02,890,1954.7027451210427
0.02,900,2033.0514440615846
0.02,910,2111.2527251305896
0.02,920,2189.1100444114604
0.02,930,2266.3841741795936
0.02,940,2342.785161751917
0.02,950,2417.9666812301075
0.02,960,2491.524904849646
0.02,970,2563.00410900179
0.02,980,2631.910717155122
0.02,990,2697.736226037363
0.03,0,3036.434024309898
0.03,10,2973.446042323566
0.03,20,2905.6806584182805
0.03,30,2834.273581925051
0.03,40,2760.2960739731507
0.03,50,2684.653932223949
0.03,60,2608.049654475792
0.03,70,2530.9928220892966
0.03,80,2453.8354763205084
0.03,90,2376.813324154712
0.03,100,2300.081951280837
0.03,110,2223.744304526272
0.03,120,2147.869822367128
0.03,130,2072.507210103641
0.03,140,1997.6929961132182
0.03,150,1923.457500878314
0.03,160,1849.8292125300854
0.03,170,1776.8380470120424
0.03,180,1704.5176642660845
0.03,190,1632.9068960016737
0.03,200,1562.0503415036578
0.03,210,1491.9982245904991
0.03,220,1422.8056345545624
0.03,230,1354.5313041418112
0.03,240,1287.2361296570764
0.03,250,1220.9816981717336
0.03,260,1155.8291023626107
0.03,270,1091.8382575041296
0.03,280,1029.0678113418942
0.03,290,967.5756190260972
0.03,300,907.4196830430186
0.03,310,848.6594278448197
0.03,320,791.3571706267277
0.03,330,735.5796551372223
0.03,340,681.3995310302704
0.03,350,628.8966746636295
0.03,360,578.1592443420813
0.03,370,529.2843454074218
0.03,380,482.37817167529096
0.03,390,437.5555221103488
0.03,400,394.9386806385948
0.03,410,354.65577195040277
0.03,420,316.83882313995286
0.03,430,281.6218338551534
0.03,440,249.13917026358897
0.03,450,219.5245432296688
0.03,460,192.91070104907809
0.03,470,169.42976526100713
0.03,480,149.21390033988146
0.03,490,132.39580677955888
0.03,500,119.10844529216136
0.03,510,109.48349720479015
0.03,520,103.64835230243914
0.03,530,101.72182683588056
0.03,540,103.80921010988602
0.03,550,109.99744665603558
0.03,560,120.35117533287217
0.03,570,134.91000278076137
0.03,580,153.6869585103102
0.03,590,176.6677692643988
0.03,600,203.8105194985091
0.03,610,235.04541381992067
0.03,620,270.2746214656203
0.03,630,309.3724504147919
0.03,640,352.18627711868993
0.03,650,398.53867109203196
0.03,660,448.23096771884195
0.03,670,501.04820789447507
0.03,680,556.7650157350986
0.03,690,615.1517864334619
0.03,700,675.9805917884895
0.03,710,739.0304186700421
0.03,720,804.091561236424
0.03,730,870.9690554854608
0.03,740,939.4850002806693
0.03,750,1009.4795967873434
0.03,760,1080.810864560324
0.03,770,1153.3532170564552
0.03,780,1226.9952504661314
0.03,790,1301.6371022566398
0.03,800,1377.1876178813227
0.03,810,1453.5614977845885
0.03,820,1530.6766854513937
0.03,830,1608.4523990908494
0.03,840,1686.8081888567876
0.03,850,1765.6641141957186
0.03,860,1844.9416968820262
0.03,870,1924.5649318676972
0.03,880,2004.460455823928
0.03,890,2084.555935526537
0.03,900,2164.7756926725474
0.03,910,2245.0323932604824
0.03,920,2325.2132868526805
0.03,930,2405.1591863838994
0.03,940,2484.6346503827976
0.03,950,2563.2895655336597
0.03,960,2640.6166122941268
0.03,970,2715.9163255042713
0.03,980,2788.2896093335007
0.03,990,2856.6807002690985
0.04,0,3115.4737601324946
0.04,10,3051.274740365279
0.04,20,2981.1414152890716
0.04,30,2907.0189500629285
0.04,40,2830.5380036275933
0.04,50,2752.861394439893
0.04,60,2674.7261265264588
0.04,70,2596.5642712184576
0.04,80,2518.6198344596737
0.04,90,2441.031523660342
0.04,100,2363.882017626238
0.04,110,2287.223784403389
0.04,120,2211.0913459745934
0.04,130,2135.507252533581
0.04,140,2060.4861794180774
0.04,150,1986.03913082047
0.04,160,1912.1780339886923
0.04,170,1838.9200870189354
0.04,180,1766.291011397479
0.04,190,1694.326726203173
0.04,200,1623.0735614765902
0.04,210,1552.5874530736955
0.04,220,1482.9323645308984
0.04,230,1414.177821048474
0.04,240,1346.3955326812174
0.04,250,1279.655724933651
0.04,260,1214.0242893703855
0.04,270,1149.5615302622546
0.04,280,1086.3224292927664
0.04,290,1024.357885898652
0.04,300,963.716549650344
0.04,310,904.4470824975774
0.04,320,846.6006328044682
0.04,330,790.233235582315
0.04,340,735.4080026723491
0.04,350,682.1971522763506
0.04,360,630.6839316863495
0.04,370,580.9642947406151
0.04,380,533.1478884044242
0.04,390,487.3577360248182
0.04,400,443.72828676421875
0.04,410,402.4020753228986
0.04,420,363.52562058094185
0.04,430,327.24527744920016
0.04,440,293.70376403321717
0.04,450,263.03811227336297
0.04,460,235.37973404852917
0.04,470,210.85689533544056
0.04,480,189.59906332605266
0.04,490,171.74174235425667
0.04,500,157.42993465350577
0.04,510,146.81833092900436
0.04,520,140.06694634872864
0.04,530,137.3323462985628
0.04,540,138.75643623587052
0.04,550,144.45600710791922
0.04,560,154.5159152074146
0.04,570,168.98696446582917
0.04,580,187.88733594536566
0.04,590,211.2051601536252
0.04,600,238.90015630344993
0.04,610,270.90343638843143
0.04,620,307.1155431771687
0.04,630,347.40348832829636
0.04,640,391.598324375516
0.04,650,439.4952498265941
0.04,660,490.85776370843735
0.04,670,545.4259942959848
0.04,680,602.9276374123808
0.04,690,663.0888286964708
0.04,700,725.6427188216414
0.04,710,790.3354786818685
0.04,720,856.9311285441966
0.04,730,925.2162709401853
0.04,740,995.0041467519225
0.04,750,1066.1363622437746
0.04,760,1138.4811610919987
0.04,770,1211.9288676574586
0.04,780,1286.3866420589295
0.04,790,1361.7743142898805
0.04,800,1438.0209746873177
0.04,810,1515.060578489001
0.04,820,1592.8259507262678
0.04,830,1671.2431383790472
0.04,840,1750.229129536546
0.04,850,1829.6942959708895
0.04,860,1909.5482087071357
0.04,870,1989.7060353037336
0.04,880,2070.0931145116415
0.04,890,2150.646540889972
0.04,900,2231.3135430311186
0.04,910,2312.046503696791
0.04,920,2392.793485875028
0.04,930,2473.4810698900606
0.04,940,2553.9832296909617
0.04,950,2634.0666587555775
0.04,960,2713.3026951188995
0.04,970,2790.946982885884
0.04,980,2865.8214648408225
0.04,990,2936.2867471313916
0.05,0,3163.1504274251197
0.05,10,3097.9025197386227
0.05,20,3025.821926821141
0.05,30,2949.760206583229
0.05,40,2871.7839101854643
0.05,50,2793.1044092460465
0.05,60,2714.3398535008027
0.05,70,2635.785291090108
0.05,80,2557.583977328543
0.05,90,2479.8146322567272
0.05,100,2402.5298994517684
0.05,110,2325.7693709812943
0.05,120,2249.5609514286616
0.05,130,2173.9198069071645
0.05,140,2098.849855440498
0.05,150,2024.3487623920132
0.05,160,1950.415221110504
0.05,170,1877.0562926313683
0.05,180,1804.2924086192381
0.05,190,1732.1588215354814
0.05,200,1660.7044440999923
0.05,210,1589.9902334547849
0.05,220,1520.0879847480858
0.05,230,1451.0780137224433
0.05,240,1383.0438431632267
0.05,250,1316.0648754795407
0.05,260,1250.211004875589
0.05,270,1185.541725426721
0.05,280,1122.1081717748189
0.05,290,1059.9554084622102
0.05,300,999.1246109835394
0.05,310,939.6560819016279
0.05,320,881.5927970063203
0.05,330,824.9833200796074
0.05,340,769.8839066175013
0.05,350,716.3604824439128
0.05,360,664.4910127132239
0.05,370,614.3684872742186
0.05,380,566.1038266650584
0.05,390,519.8265809150217
0.05,400,475.6820414945584
0.05,410,433.82583600336017
0.05,420,394.417635952129
0.05,430,357.61479523415807
0.05,440,323.56666031121875
0.05,450,292.41048419014703
0.05,460,264.2706038332841
0.05,470,239.26269915978148
0.05,480,217.50252752900715
0.05,490,199.1163351987277
0.05,500,184.24993124358446
0.05,510,173.07276716448658
0.05,520,165.7731868561538
0.05,530,162.54369652583478
0.05,540,163.55998976260773
0.05,550,168.96161931843295
0.05,560,178.84180200042383
0.05,570,193.24871887768123
0.05,580,212.19425545003028
0.05,590,235.662703036331
0.05,600,263.61473020163567
0.05,610,295.9868621189262
0.05,620,332.68748349073337
0.05,630,373.58942700945045
0.05,640,418.5214638805509
0.05,650,467.2638695951673
0.05,660,519.5522397988661
0.05,670,575.0904219847876
0.05,680,633.569667460417
0.05,690,694.6867892784419
0.05,700,758.1538640240584
0.05,710,823.6998258934728
0.05,720,891.072056185765
0.05,730,960.0432174959185
0.05,740,1030.4204205143583
0.05,750,1102.0504096293132
0.05,760,1174.8160336613062
0.05,770,1248.624872804381
0.05,780,1323.398019766765
0.05,790,1399.066693703663
0.05,800,1475.5744038327807
0.05,810,1552.8745683325853
0.05,820,1630.9182255559042
0.05,830,1709.6387462730595
0.05,840,1788.9455222180527
0.05,850,1868.730917371156
0.05,860,1948.8846452351377
0.05,870,2029.307160635158
0.05,880,2109.9173118794456
0.05,890,2190.653851971598
0.05,900,2271.472722130839
0.05,910,2352.3421402295235
0.05,920,2433.236104143012
0.05,930,2514.124352448958
0.05,940,2594.9524822070066
0.05,950,2675.5979528853363
0.05,960,2755.7749821972034
0.05,970,2834.851858670246
0.05,980,2911.5738080086367
0.05,990,2983.8183812831767
0.060000000000000005,0,3195.027537872476
0.060000000000000005,10,3128.8288847105046
0.060000000000000005,20,3055.1349314309086
0.060000000000000005,30,2977.711574815678
0.060000000000000005,40,2898.872665500099
0.060000000000000005,50,2819.7166360321644
0.060000000000000005,60,2740.6954076061334
0.060000000000000005,70,2661.991228228088
0.060000000000000005,80,2583.6875268684053
0.060000000000000005,90,2505.8363521269066
0.060000000000000005,100,2428.483539534164
0.060000000000000005,110,2351.6716463483917
0.060000000000000005,120,2275.431754867328
0.060000000000000005,130,2199.7768266230714
0.060000000000000005,140,2124.7026046578303
0.060000000000000005,150,2050.194746678953
0.060000000000000005,160,1976.2396707212579
0.060000000000000005,170,1902.8357549157192
0.060000000000000005,180,1830.0004336870816
0.060000000000000005,190,1757.7704332176804
0.060000000000000005,200,1686.1973914589803
0.060000000000000005,210,1615.3448550327657
0.060000000000000005,220,1545.289178799623
0.060000000000000005,230,1476.1198826417585
0.060000000000000005,240,1407.9327763636802
0.060000000000000005,250,1340.8163813052006
0.060000000000000005,260,1274.8424437998078
0.060000000000000005,270,1210.0674829381219
0.060000000000000005,280,1146.5389559834364
0.060000000000000005,290,1084.298022615964
0.060000000000000005,300,1023.3803089079839
0.060000000000000005,310,963.8196055061578
0.060000000000000005,320,905.6533677461224
0.060000000000000005,330,848.9258773816211
0.060000000000000005,340,793.6893132135722
0.060000000000000005,350,740.0052016824479
0.060000000000000005,360,687.9465781892102
0.060000000000000005,370,637.6019305738187
0.060000000000000005,380,589.0814628721721
0.060000000000000005,390,542.5200216309476
0.060000000000000005,400,498.07231616900776
0.060000000000000005,410,455.90487171456107
0.060000000000000005,420,416.1884205035079
0.060000000000000005,430,379.0899546039414
0.060000000000000005,440,344.76542677912335
0.060000000000000005,450,313.35321410844955
0.060000000000000005,460,284.9704030110257
0.060000000000000005,470,259.7183371102122
0.060000000000000005,480,237.6962729754072
0.060000000000000005,490,219.01661713665257
0.060000000000000005,500,203.81983017924415
0.060000000000000005,510,192.2844663686137
0.060000000000000005,520,184.62386813754918
0.060000000000000005,530,181.06543716251102
0.060000000000000005,540,181.81718371071284
0.060000000000000005,550,187.03668148481378
0.060000000000000005,560,196.8171014758506
0.060000000000000005,570,211.19440821636525
0.060000000000000005,580,230.16775477350143
0.060000000000000005,590,253.71573842776786
0.060000000000000005,600,281.7999966903991
0.060000000000000005,610,314.363181669893
0.060000000000000005,620,351.32496021914693
0.060000000000000005,630,392.57074877615594
0.060000000000000005,640,437.9347820069242
0.060000000000000005,650,487.1893715082268
0.060000000000000005,660,540.0477482384911
0.060000000000000005,670,596.1813098576534
0.060000000000000005,680,655.2497229007197
0.060000000000000005,690,716.9310053738656
0.060000000000000005,700,780.9313062004479
0.060000000000000005,710,846.9741222046125
0.060000000000000005,720,914.794238377934
0.060000000000000005,730,984.1494952369345
0.060000000000000005,740,1054.8389911750883
0.060000000000000005,750,1126.7150518962537
0.060000000000000005,760,1199.678743705282
0.060000000000000005,770,1273.6564545823844
0.060000000000000005,780,1348.576666727237
0.060000000000000005,790,1424.3697272160034
0.060000000000000005,800,1500.984993198149
0.060000000000000005,810,1578.3963030484351
0.060000000000000005,820,1656.5789312793488
0.060000000000000005,830,1735.4759153781292
0.060000000000000005,840,1814.9855088217303
0.060000000000000005,850,1894.9773097379468
0.060000000000000005,860,1975.3194052765298
0.060000000000000005,870,2055.899115303301
0.060000000000000005,880,2136.6316330985323
0.060000000000000005,890,2217.4588695632206
0.060000000000000005,900,2298.343441111432
0.060000000000000005,910,2379.2619088495826
0.060000000000000005,920,2460.198952909251
0.060000000000000005,930,2541.1414968395106
0.060000000000000005,940,2622.0684417269545
0.060000000000000005,950,2702.9240995087507
0.060000000000000005,960,2783.54422477704
0.060000000000000005,970,2863.465914190994
0.060000000000000005,980,2941.525596700244
0.060000000000000005,990,3015.2934892378175
0.07,0,3217.8380247021814
0.07,10,3150.7620450609456
0.07,20,3075.7363012268133
0.07,30,2997.376484768147
0.07,40,2918.054730770098
0.07,50,2838.6757592038766
0.07,60,2759.5450585818376
0.07,70,2680.7753905090435
0.07,80,2602.4204111947784
0.07,90,2524.5200811080713
0.07,100,2447.1212359469414
0.07,110,2370.2750613349426
0.07,120,2294.0188477268493
0.07,130,2218.364449461074
0.07,140,2143.300501312555
0.07,150,2068.801817638141
0.07,160,1994.8435593215113
0.07,170,1921.4166692218134
0.07,180,1848.5375611901725
0.07,190,1776.2465364124398
0.07,200,1704.5981481376352
0.07,210,1633.6559975452628
0.07,220,1563.4973428648595
0.07,230,1494.2189678651198
0.07,240,1425.9298213284965
0.07,250,1358.7277553142142
0.07,260,1292.683714033445
0.07,270,1227.8489045877145
0.07,280,1164.267960773169
0.07,290,1101.9806044704371
0.07,300,1041.0182706188273
0.07,310,981.4089846432119
0.07,320,923.1865646229078
0.07,330,866.3934852046741
0.07,340,811.0797006642555
0.07,350,757.3040161281822
0.07,360,705.1355017756804
0.07,370,654.6568684935747
0.07,380,605.9758878929974
0.07,390,559.232424126015
0.07,400,514.5894784389542
0.07,410,472.22175042070893
0.07,420,432.3087476699101
0.07,430,395.0251967405413
0.07,440,360.5333176726959
0.07,450,328.9746250999283
0.07,460,300.46014806129415
0.07,470,275.07731571976876
0.07,480,252.91021784615145
0.07,490,234.05689457132138
0.07,500,218.64905256628086
0.07,510,206.87002152730685
0.07,520,198.9544387988685
0.07,530,195.16289833251068
0.07,540,195.73413887754776
0.07,550,200.84037392535515
0.07,560,210.56969336397307
0.07,570,224.9399562559022
0.07,580,243.9351236638018
0.07,590,267.52998173071944
0.07,600,295.6878985374643
0.07,610,328.35574893944454
0.07,620,365.46427286298643
0.07,630,406.91468793580333
0.07,640,452.55037682769023
0.07,650,502.13943469598405
0.07,660,555.3772405097604
0.07,670,611.9053552664344
0.07,680,671.3533347355497
0.07,690,733.3870741893501
0.07,700,797.7194540845247
0.07,710,864.0769652692912
0.07,720,932.1822611767135
0.07,730,1001.7766379278287
0.07,740,1072.6487085897606
0.07,750,1144.6551244628704
0.07,760,1217.7185530432291
0.07,770,1291.7873471727592
0.07,780,1366.7921016986759
0.07,790,1442.6504332824677
0.07,800,1519.3091483167386
0.07,810,1596.7641298816436
0.07,820,1675.0214723641532
0.07,830,1754.0355274154788
0.07,840,1833.6897062202465
0.07,850,1913.828217261053
0.07,860,1994.2987235777794
0.07,870,2074.9788562662397
0.07,880,2155.783550473655
0.07,890,2236.6597068662727
0.07,900,2317.5762859045763
0.07,910,2398.5155497051974
0.07,920,2479.467301666829
0.07,930,2560.425026985763
0.07,940,2641.3809444756835
0.07,950,2722.312289581204
0.07,960,2803.133608160058
0.07,970,2883.5374909085353
0.07,980,2962.543785808944
0.07,990,3037.6033613542245
0.08,0,3234.966820527236
0.08,10,3167.0752945355216
0.08,20,3090.957569426318
0.08,30,3011.966039311269
0.08,40,2932.3801729466168
0.08,50,2852.8956255596972
0.08,60,2773.7129266944576
0.08,70,2694.909622135724
0.08,80,2616.5249479165063
0.08,90,2538.590533460411
0.08,100,2461.156005104462
0.08,110,2384.2837159932114
0.08,120,2308.0178938871322
0.08,130,2232.3690032443915
0.08,140,2157.3195749903243
0.08,150,2082.8350034872683
0.08,160,2008.8803267288954
0.08,170,1935.439988822446
0.08,180,1862.5307009990847
0.08,190,1790.1980818313211
0.08,200,1718.4998365491124
0.08,210,1647.497615253598
0.08,220,1577.2664429249328
0.08,230,1507.9083330679573
0.08,240,1439.546467823148
0.08,250,1372.2885268399311
0.08,260,1306.2019038745632
0.08,270,1241.3304195524224
0.08,280,1177.7172300617851
0.08,290,1115.4031920360608
0.08,300,1054.4162531848153
0.08,310,994.7785998251755
0.08,320,936.5218137205798
0.08,330,879.6884534134042
0.08,340,824.3270501443594
0.08,350,770.4949179702935
0.08,360,718.2586889394711
0.08,370,667.6942501265157
0.08,380,618.9053634380572
0.08,390,572.0375599563126
0.08,400,527.2613519123656
0.08,410,484.75662921448816
0.08,420,444.71005487562957
0.08,430,407.30203585460697
0.08,440,372.6999868304785
0.08,450,341.05098293421884
0.08,460,312.46108459337916
0.08,470,287.0042828946576
0.08,480,264.75282050757374
0.08,490,245.79171602953923
0.08,500,230.24203389333908
0.08,510,218.28889928480757
0.08,520,210.1842129224318
0.08,530,206.21954191114006
0.08,540,206.6623468223872
0.08,550,211.6967067551322
0.08,560,221.40344596769702
0.08,570,235.77885277705408
0.08,580,254.79126939722298
0.08,590,278.4155974040479
0.08,600,306.61790979182547
0.08,610,339.34597271836714
0.08,620,376.5397422086278
0.08,630,418.1179499009998
0.08,640,463.9342591710415
0.08,650,513.7540961449528
0.08,660,567.2595963397127
0.08,670,624.0653571384386
0.08,680,683.7706223139093
0.08,690,746.0326274526075
0.08,700,810.5814392016669
0.08,710,877.1520481201235
0.08,720,945.4530274364655
0.08,730,1015.2088616757288
0.08,740,1086.1962053669563
0.08,750,1158.273416708574
0.08,760,1231.3871864661035
0.08,770,1305.5117129830383
0.08,780,1380.5760555937209
0.08,790,1456.4756258569996
0.08,800,1533.147724948097
0.08,810,1610.6118275413844
0.08,820,1688.910579660554
0.08,830,1768.0098439512556
0.08,840,1847.7744918333112
0.08,850,1928.022699180382
0.08,860,2008.5845096147336
0.08,870,2089.3313276521762
0.08,880,2170.180246518795
0.08,890,2251.0839594720537
0.08,900,2332.0171486712525
0.08,910,2412.966216428393
0.08,920,2493.9237793576003
0.08,930,2574.885970647875
0.08,940,2655.850015659672
0.08,950,2736.807741262847
0.08,960,2817.7180628001074
0.08,970,2898.390259941308
0.08,980,2978.0530232032065
0.08,990,3054.1971167605716
0.09,0,3248.301065210508
0.09,10,3179.6492822831005
0.09,20,3102.64261686158
0.09,30,3023.2321116346493
0.09,40,2943.5042539646647
0.09,50,2863.967340683736
0.09,60,2784.755591266448
0.09,70,2705.9326590533346
0.09,80,2627.5299626752903
0.09,90,2549.570375701336
0.09,100,2472.1063361213164
0.09,110,2395.2129928207933
0.09,120,2318.9412305281076
0.09,130,2243.2992649968987
0.09,140,2168.264707481363
0.09,150,2093.7950044962763
0.09,160,2019.8462171308643
0.09,170,1946.396973197003
0.09,180,1873.4649379403982
0.09,190,1801.1023456132646
0.09,200,1729.3702316155448
0.09,210,1658.326940731927
0.09,220,1588.0430249041945
0.09,230,1518.6236389610365
0.09,240,1450.2072634108722
0.09,250,1382.9120193808362
0.09,260,1316.7991672444748
0.09,270,1251.9035726674406
0.09,280,1188.2684202235644
0.09,290,1125.9380433514364
0.09,300,1064.9370970133707
0.09,310,1005.2814418988808
0.09,320,947.0015677419163
